,# of Overlap Pathways,Family
410,5187,"C19H13O11, C20H17O12"
411,5709,"C19H13O11, C19H15O12"
412,13589,"C18H19O10, C18H21O11, C19H21O13"
413,3647,"C15H9O11, C16H9O13"
414,24693,"C16H15O10, C17H15O12, C18H15O14, C18H17O15"
415,19338,"C16H15O10, C17H15O12, C17H17O13"
416,1812,"C16H21O7, C17H21O9, C18H21O11"
417,19187,"C16H17O10, C17H17O12, C18H21O13"
418,43066,"C20H23O10, C21H27O11"
419,4003,"C19H23O9, C19H25O10"
420,19383,"C19H23O9, C20H23O11"
421,36188,"C22H25O9, C23H25O11"
422,4758,"C16H19O9, C17H19O11"
423,16012,"C14H11O10, C15H11O12"
424,4722,"C14H19O7, C15H19O8"
425,11546,"C20H19O10, C20H21O11"
426,1464,"C13H9O9, C14H9O11, C15H9O13"
427,434,"C13H9O9, C14H9O11, C14H11O12"
428,557,"C13H9O9, C14H9O11, C15H13O12"
429,209,"C13H9O9, C14H13O10, C15H13O12, C16H13O14"
430,384,"C13H9O9, C13H11O10, C14H11O12"
431,11873,"C16H13O11, C16H15O12, C17H15O14"
432,3898,"C18H11O11, C18H13O12, C19H13O14"
433,2100,"C22H19O10, C22H21O11"
434,10433,"C14H15O9, C15H15O11"
435,2008,"C16H17O9, C17H21O10, C18H21O12, C19H21O14"
436,5292,"C22H15O11, C22H17O12"
437,20541,"C18H17O10, C19H21O11, C20H21O13"
438,8082,"C17H17O9, C18H17O11, C19H17O13"
439,16238,"C18H13O11, C18H15O12, C18H17O13"
440,6536,"C16H11O11, C17H15O12"
441,477,"C18H23O8, C18H25O9, C19H25O11"
442,13797,"C18H19O9, C19H19O11"
443,13674,"C17H15O11, C17H17O12, C17H19O13"
444,3574,"C18H19O11, C18H21O12"
445,3267,"C23H21O10, C23H23O11"
446,5578,"C14H15O10, C15H15O12"
447,2922,"C17H21O8, C18H21O10, C19H25O11"
448,4521,"C15H19O8, C16H19O10, C17H19O12"
449,19131,"C17H19O9, C18H19O11, C18H21O12, C19H21O14"
450,6478,"C17H11O11, C18H11O13, C18H13O14"
451,2690,"C17H11O11, C18H15O12, C18H17O13"
452,5837,"C17H11O11, C18H15O12, C19H15O14"
453,2750,"C17H11O11, C17H13O12, C18H17O13"
454,3444,"C17H11O11, C17H13O12, C18H13O14"
455,8338,"C22H17O11, C22H19O12"
456,16317,"C16H13O10, C17H13O12, C18H17O13"
457,18317,"C16H13O10, C17H13O12, C18H13O14"
458,1711,"C15H17O9, C16H17O11"
459,6041,"C19H11O11, C20H11O13, C20H13O14"
460,4600,"C18H23O8, C19H23O10"
461,5770,"C15H11O11, C16H15O12, C17H15O14"
462,21912,"C17H15O11, C17H17O12"
463,189,"C19H17O10, C19H19O11"
464,5084,"C19H17O10, C20H17O12"
465,7336,"C22H21O10, C22H23O11"
466,2453,"C14H11O9, C15H11O11, C16H11O13, C17H15O14"
467,8973,"C20H15O10, C21H15O12, C21H17O13"
468,7820,"C17H19O10, C18H19O12"
469,2412,"C17H9O12, C17H11O13"
470,10383,"C17H9O12, C18H9O14"
471,7392,"C17H9O12, C18H13O13"
472,21297,"C21H15O11, C22H19O12"
473,1364,"C16H17O7, C17H17O9, C18H17O11, C19H21O12"
474,608,"C16H17O7, C17H17O9, C18H17O11, C19H17O13"
475,2530,"C18H21O8, C19H21O10, C20H21O12, C20H23O13"
476,2437,"C18H21O8, C19H21O10, C19H23O11, C20H23O13"
477,930,"C18H21O8, C18H23O9, C19H23O11, C20H23O13"
478,930,"C21H11O12, C21H13O13"
479,2609,"C16H17O8, C17H17O10, C18H17O12, C19H21O13"
480,6951,"C16H17O8, C17H17O10, C18H17O12, C19H17O14"
481,4398,"C16H17O8, C17H17O10, C18H17O12, C18H19O13"
482,2552,"C16H17O8, C17H17O10, C18H21O11, C19H21O13"
